batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,hidden_units,num_layers,time_horizon,max_steps,gamma,normalize,CPU Cores,Total RAM,TimeElapsed,CumulativeReward
64,48000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,770.0,100.000015
64,48000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,573.0,97.641682
64,96000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,644.0,13.893752
64,96000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,687.0,11.368423
64,96000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,717.0,17.089397
64,192000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,809.0,1.741706
64,192000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,766.0,1.957761
64,192000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,769.0,2.151087
64,384000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,759.0,1.409833
64,384000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,781.0,1.492657
64,384000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,804.0,1.465598
64,12000,0.0003,0.001,0.2,0.99,6,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,1034.0,80.313346
64,12000,0.0003,0.001,0.2,0.99,6,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,1041.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,6,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,965.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,12,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,1440.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,12,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,1603.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,12,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,1639.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,24,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,2363.0,92.369245
64,12000,0.0003,0.001,0.2,0.99,24,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,2411.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,24,128.0,2.0,1000.0,500000.0,0.99,True,12.0,31.49,2311.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,500000.0,0.99,True,12.0,31.49,626.0,100.000015
