run_id,timestamp,CPU Model,CPU Cores,CPU Frequency,Total RAM,GPU Model,Operating System,DRL Algorithm Used,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,3DBall.Environment.CumulativeReward.mean,Time Elapsed/s
max-hiddenunits256-config3-0,2025-11-30T16:18:00Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256.0,1.0,0.99,100000.0,1000.0,7.296504,293.0
max-hiddenunits256-config3-1,2025-11-30T16:23:07Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256.0,1.0,0.99,100000.0,1000.0,4.250893,295.0
max-hiddenunits256-config3-2,2025-11-30T16:28:16Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256.0,1.0,0.99,100000.0,1000.0,7.004055,282.0
max-hiddenunits512-config3-0,2025-11-30T16:33:11Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512.0,1.0,0.99,100000.0,1000.0,12.368891,294.0
max-hiddenunits512-config3-1,2025-11-30T16:38:18Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,1496.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512.0,1.0,0.99,100000.0,1000.0,7.442858,292.0
max-hiddenunits512-config3-2,2025-11-30T16:43:24Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512.0,1.0,0.99,100000.0,1000.0,9.630632,303.0
max-lambda0.85-config1-0,2025-11-30T21:51:52Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.85,3,True,64.0,1.0,0.99,500000.0,1000.0,100.000015,864.0
max-lambda0.875-config1-0,2025-11-30T22:06:22Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.875,3,True,64.0,1.0,0.99,500000.0,1000.0,100.000015,679.0
max-lambda0.9-config1-0,2025-11-30T22:17:53Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.9,3,True,64.0,1.0,0.99,500000.0,1000.0,100.000015,616.0
max-lambda0.925-config1-0,2025-11-30T22:28:18Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.925,3,True,64.0,1.0,0.99,500000.0,1000.0,100.000015,709.0
max-lambda0.95-config1-0,2025-11-30T22:40:18Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.95,3,True,64.0,1.0,0.99,500000.0,1000.0,100.000015,642.0
max-lambda0.975-config1-0,2025-11-30T22:51:08Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.975,3,True,64.0,1.0,0.99,500000.0,1000.0,100.000015,557.0
max-lambda0.85-config3-0,2025-11-30T23:01:56Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.85,3,True,128.0,1.0,0.99,100000.0,1000.0,2.152989,119.0
max-lambda0.85-config3-1,2025-11-30T23:03:59Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.85,3,True,128.0,1.0,0.99,100000.0,1000.0,2.625776,128.0
max-lambda0.85-config3-2,2025-11-30T23:06:12Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.85,3,True,128.0,1.0,0.99,100000.0,1000.0,1.689535,125.0
max-lambda0.875-config3-0,2025-11-30T23:08:22Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.875,3,True,128.0,1.0,0.99,100000.0,1000.0,3.621961,125.0
max-lambda0.875-config3-1,2025-11-30T23:10:32Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.875,3,True,128.0,1.0,0.99,100000.0,1000.0,2.45638,123.0
max-lambda0.875-config3-2,2025-11-30T23:12:40Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.875,3,True,128.0,1.0,0.99,100000.0,1000.0,2.313105,120.0
max-lambda0.9-config3-0,2025-11-30T23:14:45Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.9,3,True,128.0,1.0,0.99,100000.0,1000.0,3.08125,124.0
max-lambda0.9-config3-1,2025-11-30T23:16:54Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.9,3,True,128.0,1.0,0.99,100000.0,1000.0,3.816394,122.0
